Format Version,1.0,
Take Name,MS024MPT007,
Capture Frame Rate,120.00,
Export Frame Rate,120.00,
Capture Start Time,29 Apr 2022 17:29:07 +0200,
Total Frames In Take,24619,
Total Exported Frames,24619,
Coordinate Space,Local,
Device Name,NIDAQ USB-6210 31683603,
Device Type,1,
Device Channel Count,6,
Mocap Rate,120.00,
Mocap Rate Multiple,1.00

MocapFrame, MocapTime, DeviceFrame,Dev2/ai0,Dev2/ai1,Dev2/ai2,Dev2/ai3,Dev2/ai4,Dev2/ai5
0,0.000000,0,-0.822899,0.085223,0.171398,-0.128898,0.066146,-0.228886
1,0.008333,1,-0.822241,0.085881,0.171069,-0.128569,0.066475,-0.228886
2,0.016667,2,-0.823556,0.086539,0.171398,-0.127911,0.067133,-0.228886
3,0.025000,3,-0.822899,0.086868,0.171398,-0.128569,0.067133,-0.229215
4,0.033333,4,-0.824214,0.087197,0.171726,-0.128898,0.066804,-0.229215
5,0.041667,5,-0.823228,0.087525,0.172384,-0.128240,0.066804,-0.229544
6,0.050000,6,-0.823556,0.085552,0.171398,-0.128569,0.067462,-0.229215
7,0.058333,7,-0.823228,0.085552,0.171069,-0.129555,0.066475,-0.230202
8,0.066667,8,-0.822899,0.086210,0.171726,-0.129227,0.066804,-0.230531
9,0.075000,9,-0.823556,0.086868,0.172055,-0.128898,0.066804,-0.229873
10,0.083333,10,-0.824214,0.086868,0.171398,-0.129227,0.067133,-0.229873
11,0.091667,11,-0.823228,0.085552,0.172055,-0.128569,0.067462,-0.229873
12,0.100000,12,-0.823228,0.085881,0.172055,-0.128569,0.067133,-0.229544
13,0.108333,13,-0.822570,0.086539,0.171726,-0.128898,0.066475,-0.229215
14,0.116667,14,-0.822570,0.086868,0.171398,-0.128569,0.066804,-0.228886
15,0.125000,15,-0.822570,0.086868,0.171398,-0.128898,0.067133,-0.229215
16,0.133333,16,-0.823556,0.085881,0.171726,-0.128569,0.067133,-0.229873
17,0.141667,17,-0.824214,0.084894,0.172055,-0.128240,0.066804,-0.229544
18,0.150000,18,-0.823556,0.085881,0.171398,-0.129227,0.067462,-0.229544
19,0.158333,19,-0.822899,0.086210,0.171398,-0.128898,0.067133,-0.229873
20,0.166667,20,-0.822241,0.085223,0.171069,-0.129555,0.066475,-0.229873
21,0.175000,21,-0.823228,0.085223,0.171398,-0.129227,0.066475,-0.229544
22,0.183333,22,-0.823885,0.087197,0.171726,-0.128240,0.067462,-0.229215
23,0.191667,23,-0.823885,0.087197,0.171726,-0.128898,0.067462,-0.229544
24,0.200000,24,-0.823228,0.085881,0.171069,-0.128569,0.066804,-0.229544
25,0.208333,25,-0.821912,0.086539,0.171726,-0.128569,0.066804,-0.229215
26,0.216667,26,-0.823228,0.084894,0.171398,-0.128569,0.067133,-0.229215
27,0.225000,27,-0.823556,0.084894,0.171398,-0.128898,0.067133,-0.229544
28,0.233333,28,-0.823228,0.085223,0.171726,-0.128898,0.066475,-0.229544
29,0.241667,29,-0.823228,0.087197,0.172055,-0.128898,0.066475,-0.229544
30,0.250000,30,-0.823556,0.085552,0.172055,-0.129227,0.066804,-0.229215
31,0.258333,31,-0.823228,0.085881,0.171398,-0.128898,0.067133,-0.229215
32,0.266667,32,-0.822570,0.087525,0.171398,-0.128898,0.066804,-0.229215
33,0.275000,33,-0.822899,0.086539,0.172055,-0.129227,0.066146,-0.229544
34,0.283333,34,-0.823228,0.086210,0.171398,-0.128240,0.067133,-0.229215
35,0.291667,35,-0.824543,0.085881,0.172055,-0.128898,0.067462,-0.228886
36,0.300000,36,-0.824214,0.086868,0.172055,-0.128240,0.067462,-0.229215
37,0.308333,37,-0.823885,0.086210,0.172384,-0.128898,0.067133,-0.228886
38,0.316667,38,-0.822570,0.085552,0.172055,-0.127911,0.066804,-0.229215
39,0.325000,39,-0.822899,0.087197,0.171726,-0.128569,0.066804,-0.229215
40,0.333333,40,-0.823228,0.086868,0.172055,-0.128898,0.067133,-0.229215
41,0.341667,41,-0.823885,0.086539,0.172384,-0.129227,0.066475,-0.229215
42,0.350000,42,-0.823885,0.086868,0.172055,-0.129227,0.066475,-0.229873
43,0.358333,43,-0.823228,0.087197,0.171398,-0.128898,0.066475,-0.229215
44,0.366667,44,-0.823556,0.085223,0.171726,-0.128898,0.067133,-0.229215
45,0.375000,45,-0.822899,0.086868,0.172384,-0.128569,0.066475,-0.229215
46,0.383333,46,-0.823885,0.086539,0.172055,-0.128898,0.066475,-0.229544
47,0.391667,47,-0.824214,0.085552,0.171398,-0.128569,0.066804,-0.229544
48,0.400000,48,-0.823885,0.086539,0.172384,-0.128569,0.066804,-0.229544
49,0.408333,49,-0.823885,0.086539,0.172055,-0.128569,0.066146,-0.229544
50,0.416667,50,-0.823228,0.086868,0.172055,-0.128898,0.066475,-0.228557
51,0.425000,51,-0.822899,0.087197,0.172055,-0.128898,0.066475,-0.229544
52,0.433333,52,-0.822899,0.086210,0.172384,-0.129227,0.066475,-0.229544
53,0.441667,53,-0.823885,0.087525,0.171398,-0.129227,0.066804,-0.229215
54,0.450000,54,-0.823556,0.086868,0.171398,-0.128569,0.066475,-0.229215
55,0.458333,55,-0.822899,0.086210,0.172384,-0.128569,0.066475,-0.229873
56,0.466667,56,-0.823556,0.087197,0.171726,-0.127911,0.066804,-0.229215
57,0.475000,57,-0.823885,0.085552,0.172055,-0.128569,0.066475,-0.229215
58,0.483333,58,-0.823556,0.087525,0.172055,-0.128569,0.067462,-0.229544
59,0.491667,59,-0.823556,0.085881,0.172055,-0.128569,0.067133,-0.229544
60,0.500000,60,-0.823556,0.086539,0.172384,-0.128898,0.066804,-0.228886
61,0.508333,61,-0.823556,0.085881,0.172713,-0.128240,0.066804,-0.229215
62,0.516667,62,-0.824543,0.086210,0.172055,-0.128240,0.067462,-0.229544
63,0.525000,63,-0.823556,0.085881,0.172384,-0.128898,0.066146,-0.229544
64,0.533333,64,-0.823885,0.087525,0.171726,-0.128569,0.066475,-0.229215
